model,kind,buffer,bytes
"Target","model buffer or mapped span","CPU_Mapped","38400184320"
"Target","model buffer or mapped span","CPU_Mapped","1921484800"
"Target","model buffer or mapped span","CPU_Mapped","1785908096"
"Target","model buffer or mapped span","CPU_Mapped","1647833984"
"Target","model buffer or mapped span","CPU_Mapped","1991512960"
"Target","model buffer or mapped span","CPU_Mapped","1639916416"
"Target","model buffer or mapped span","CPU_Mapped","1823965184"
"Target","model buffer or mapped span","CPU_Mapped","1913622272"
"Target","model buffer or mapped span","CPU_Mapped","1648274304"
"Target","model buffer or mapped span","CPU_Mapped","1837824896"
"Target","model buffer or mapped span","CPU_Mapped","1921980160"
"Target","model buffer or mapped span","CPU_Mapped","1626056704"
"Target","model buffer or mapped span","CPU_Mapped","1837824896"
"Target","model buffer or mapped span","CPU_Mapped","1908120448"
"Target","model buffer or mapped span","CPU_Mapped","1639916416"
"Target","model buffer or mapped span","CPU_Mapped","1846182784"
"Target","model buffer or mapped span","CPU_Mapped","1899762560"
"Target","model buffer or mapped span","CPU_Mapped","1639916416"
"Target","model buffer or mapped span","CPU_Mapped","1823965184"
"Target","model buffer or mapped span","CPU_Mapped","1913622272"
"Target","model buffer or mapped span","CPU_Mapped","1648274304"
"Target","model buffer or mapped span","CPU_Mapped","1837824896"
"Target","model buffer or mapped span","CPU_Mapped","1921980160"
"Target","model buffer or mapped span","CPU_Mapped","1626056704"
"Target","model buffer or mapped span","CPU_Mapped","1837824896"
"Target","model buffer or mapped span","CPU_Mapped","1372582784"
"Target","model buffer or mapped span","Vulkan0","14334574080"
"MTP","model buffer or mapped span","CPU_Mapped","357580800"
"MTP","model buffer or mapped span","Vulkan0","1472008192"
"Target","kv","Vulkan0","3221225472"
"Target","recurrent","Vulkan0","590192640"
"Target","kv","Vulkan0","402653184"
"Target","pooled_indexer","Vulkan0","201338880"
"MTP","kv","Vulkan0","142606336"
"Target","compute workspace","Vulkan0","1275709444"
"Target","compute workspace","Vulkan_Host","434264224"
"MTP","compute workspace","Vulkan0","26501120"
"MTP","compute workspace","Vulkan_Host","10773536"
"Target","HostMoE 36 gate","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 36 up","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 36 down","CPU committed / Vulkan imported","471859200"
"Target","HostMoE 37 gate","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 37 up","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 37 down","CPU committed / Vulkan imported","471859200"
"Target","HostMoE 38 gate","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 38 up","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 38 down","CPU committed / Vulkan imported","471859200"
"Target","HostMoE 39 gate","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 39 up","CPU committed / Vulkan imported","268697600"
"Target","HostMoE 39 down","CPU committed / Vulkan imported","471859200"
