model,layer,category,name,model_buffer,normal_execution_storage,precision,bytes,shape
"Target","-1","Token embeddings","token_embd.weight","CPU_Mapped","CPU_Mapped","q8_0","675430400","2560,248320,1,1"
"Target","-1","PLE lookup table","per_layer_token_embd.weight","CPU_Mapped","CPU_Mapped","q5_1","38400184320","160,320001536,1,1"
"Target","0","Routed expert banks","blk.0.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","0","Routed expert banks","blk.0.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","0","Routed expert banks","blk.0.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","1","Routed expert banks","blk.1.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","1","Routed expert banks","blk.1.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","1","Routed expert banks","blk.1.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","2","Routed expert banks","blk.2.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","2","Routed expert banks","blk.2.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","2","Routed expert banks","blk.2.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","3","Routed expert banks","blk.3.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","3","Routed expert banks","blk.3.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","3","Routed expert banks","blk.3.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq3_s","360448000","2560,640,512,1"
"Target","4","Routed expert banks","blk.4.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","4","Routed expert banks","blk.4.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","4","Routed expert banks","blk.4.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","5","Routed expert banks","blk.5.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","5","Routed expert banks","blk.5.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","5","Routed expert banks","blk.5.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","6","Routed expert banks","blk.6.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","6","Routed expert banks","blk.6.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","6","Routed expert banks","blk.6.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","7","Routed expert banks","blk.7.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","7","Routed expert banks","blk.7.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","7","Routed expert banks","blk.7.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","8","Routed expert banks","blk.8.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","8","Routed expert banks","blk.8.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","8","Routed expert banks","blk.8.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","9","Routed expert banks","blk.9.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","9","Routed expert banks","blk.9.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
